2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_playlists.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_search.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_teams.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_youtube.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/settings.xml
2015-08-14 12:17:26: Done.
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/addon.xml
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/changelog.txt
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/default.py
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/fanart.jpg
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icon.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/All_Shows.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/AZ.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Favourites.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Genre.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/icon.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Last_24_Hours.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Last_3_Days.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Last_7_Days.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Last_90_Days.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Latest_Added.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Movies.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Next.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Popular.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Search.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Settings.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/This_Month.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/TV_Shows.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Upcoming.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/icons/simple/Year.png
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/pftvso.py
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/pftvso.pyo
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/plugin.video.pftvso-0.0.1.rar
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/plugin.video.pftvso-0.0.1.zip
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/plugin.video.pftvso-0.0.2.zip
2015-08-14 12:17:28: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.pftvso/plugin.video.pftvso-0.0.3.zip
